Unix Time,id_ue,rb_allocated,mcs
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,21,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,111,9
1727483976,18865,5,9
1727483976,18865,5,9
1727483976,18865,18,9
1727483976,18865,7,9
1727483976,18865,5,10
1727483976,18865,16,10
1727483976,18865,5,10
1727483976,18865,13,10
1727483976,18865,6,10
1727483976,18865,5,10
1727483976,18865,5,10
1727483976,18865,5,10
1727483976,18865,6,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,6,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,9,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,10,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,10,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,10
1727483977,18865,5,9
1727483977,18865,5,9
1727483977,18865,5,9
1727483977,18865,5,9
1727483977,18865,5,9
1727483977,18865,5,9
1727483977,18865,5,9
1727483978,18865,5,9
1727483978,18865,5,9
1727483978,18865,5,9
1727483978,18865,5,9
1727483978,18865,5,9
1727483978,18865,5,9
1727483978,18865,5,9
1727483978,18865,5,9
1727483978,18865,5,9
1727483978,18865,5,9
1727483978,18865,5,10
1727483978,18865,5,10
1727483978,18865,90,10
1727483978,18865,90,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,112,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,112,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,112,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
1727483978,18865,273,10
